,title
22,温馨 舒适 大床 厦门 北站 近方特 梦幻 王国 园博苑 落地窗 机场 海景 步行 3 分钟 海边 沙滩 看 日出 近 集美 大学
23,环岛 路旁 单独 2 居室 带 花园 露台 步行 5 分钟 到 海边 沙滩 近 会展 曾厝垵 厦大 沙坡尾 猫 街
24,夏日 推荐 设计师 轻奢 海景 大床 黄 厝 环岛路 曾厝垵 270 ° 无敌 海景 平台 泳池 拍照 超美 巨幕 投影
25,天赋 望海 大床 房 免费 代订 鼓浪屿 船票 近 曾厝垵 鼓浪屿 会展中心 环岛路 厦大 中山路 猫 街 植物园
26,妍 小夕 ° 米子 月租 可 优惠 近 鼓浪屿 海景房 中山路 泡泡 池 三床 复式 LOFT 可做饭 投影
27,精致 双床 房 环岛路 200 米 步行 到 海边 超大 庭院 空间 儿童 游泳池 邻近 曾厝垵 鼓浪屿 厦大
28,160 平 3 房 3 卫可住 6 人 楼下 地铁口 一线 海景房 背 湖面 海距 邮轮 中心 一站 地铁 距嵩屿 码头 十分钟 车程
29,ins 风 海边 小 清新 闺蜜 大床 全部 房源 连 住 优惠 促销 中 点击 我 头像 查看 更 多 房源 位于 曾厝垵 临近
30,影视 拍摄 基地 最美 咖啡厅 画廊 莫奈 独立 3 卧适 6 人 鼓浪屿 最美 别墅 近 日光岩 三丘田 码头
31,厦门大学 海峡 世茂 双子星 海景 大床 房
32,Good 黎夕 舒适 大床 房近 曾厝垵 厦大 植物园 鼓浪屿 点击 房东 头像 查看 更 多 房源
33,404 午芥 离山 很 近距 海 不远 环岛路 近 曾厝垵 国际 会展中心 鼓浪屿 厦门大学
34,﹝ 晚秧 阳台 大床 ﹞ 🛁 浴缸 🎦 投影 中山路 步行街 含早 接机 接站 🚕 步行 到 八市 中华 城 小吃街 马路 对面 鼓浪屿
35,超 高性价比 清新 12 米 双床 房近 曾厝垵 厦大 中山路 大堂 可存 行李 步行 到 沙滩 何时 连锁
36,401 午芥 离山 很 近距 海 不远 环岛路 近 曾厝垵 国际 会展中心 鼓浪屿 厦门大学
37,厦门 曾厝垵 景区 内近 厦大 沙坡尾 鼓浪屿 中山路 设计师 民宿 庭院 大床 房 紫 箢
38,🥇 超赞 房源 心湖悦 山河 故 人大 床 曾厝垵 内 海边 10 分钟 厦大 环岛路 摄影 摩洛哥 花园 天台
39,海边 的 度假 民宿 ⛱ ️ 双 人大 浴缸 🛁 超大 浴室 🎦 巨幕 影院 海景 露台 大床 房 摩洛哥 仙人掌 🌵 庭院 蓝色 岛屿
40,免费 代订 鼓浪屿 船票 近 黄 厝 沙滩 赏 绝美 日出 近 环岛路 会展中心 曾厝垵 厦大 鼓浪屿 超大 山景 海景 大 露台
41,🏅 厦门 曾厝垵 豪华 双床 房近 会展中心 环岛路 鼓浪屿 厦门大学 步行 5 分钟 到 海边 免费 和服 汉服 拍照
42,火爆 房源 青梅 露台 投影 大床 曾厝垵 近 厦大 网红 拍照 水池 独立 庭院 带 厨房 独立 餐厅 步行 至 海边
43,高层 江景 3 房 套房 122 平方 适合 家庭 朋友 旅游 聚会 夜景 优美 空间 大 投影 浴缸 一应俱全
44,莫兰迪风 投影仪 一线 无遮挡 海景房 近 机场 厦门 北站
45,厦门 曾厝垵 喜物 客栈 初见 投影 大床 房三晚 接机 接站 曾厝垵 内近 环岛 南路 鼓浪屿 厦大 植物园 等
46,淡墨 投影 大床 房 53 临近 环岛路 海边 沙滩 清新 简约 小 民宿
47,Hilight 予光 优选 吊床 房
48,曾厝垵 景区 内 智能 升降 床 A 出门 小吃街 带 独立 院子 公共 厨房 聚会 聚餐
49,曾厝垵 美食街 内 环岛路 近 海边 沙滩 近 厦门大学 中山路 沙坡尾 鼓浪屿 码头 闺蜜 大小 双床 房 E
50,叁 壹 复式 投影 毗邻 沙坡尾 厦门大学 猫 街 南普陀 铁路 公园 近 中山路 曾厝安 公交 直达
51,看 海上 日出 那 所 NASO 高清 影音 房 海景 大 露台 3 分钟 步行 到 海边 近 曾 厝 安 厦大
52,鼓浪屿 春草 芬芳 海景 度假 别墅 奢华 独立 海景 套房
53,连住 三晚 接机 厦门 火车站 小 黄人 主题 榻榻米 双床 房 步行 海边 5 分钟 曾厝垵 厦大 鼓浪屿 中山路 植物园
54,陡 楼梯 厦大 沙坡尾 270 度 超大 落地窗 无敌 海景 厦大 附近
55,Bluemood 近 厦门 北 机场 方特 落地窗 ins 纯白 海景房
56,厦门 山竺 拾海近 鼓浪屿 中山路 曾厝安 厦大 普陀山 高层 一线 海景 270 度 独特 海景 阳台
57,南笙 ° 亚瑟 月租 可 优惠 近 鼓浪屿 海景房 中山路 泡泡 池 三床 复式 LOFT 可做饭 投影
58,鼓浪屿 花庭稚 梦 旅馆 温馨 大床 房 202 带 浴缸 近 沙滩
59,拾 贰 四楼 全景 双床 房 步行 八百米 到 海边 美食街 内 机场 大巴 直达 近 厦大 沙坡尾 曾厝垵 植物园 中山路
60,橙意 36 人 曾厝垵 近 厦大 南普陀 环岛路 2 分钟 到 沙滩 1 楼
61,厦大 学生公寓 旁 的 清居 15 米大床 房 步行 可 到 环岛路 珍珠 湾 沙滩 和 曾厝垵 近 厦门大学 后门 芙蓉 隧道 出口
62,曾厝垵 美食街 内 2 分钟 到 海边 繁花 投影 大床 网红 院子 厨房 洗衣机 近 厦大 鼓浪屿 植物园
63,曾厝垵 美食街 内一 09 设计师 大床 房 步行 海边 2 分钟 近 鼓浪屿 植物园 南普陀 厦大
64,沐 月 で す 日式 和 风近 厦大 曾厝垵 环岛路 日式 樱花 露台 和服 拍照 揽 月 8
65,曾厝垵 美食街 内 两室 两卫 两间 大床 房 组合 房近 厦大 南普陀 植物园 鼓浪屿
66,厦门 曾厝垵 环岛路 [ 雅大床 带 浴缸 ] 临近 鼓浪屿 厦门大学 南普陀 中山路
67,七禾 曾厝垵 C2 景区 内 7 分钟 海边 环岛路 家庭影院 可做饭 前卫 设计师 民宿 近 机场 中山路 厦大 植物园
68,新房 特惠 阳光 投影 大床 房 3 近 火车站 地铁 莲花 路口 闹中取静 盘扣 见 城 民宿 点 开头 像 更 多 房源
69,鼓浪屿 岛上 近 海底 世界 近海 边幕 望大床 房
70,热门 推荐 影音 豪华 大床 环岛路 沙坡尾 270 ° 无敌 海景 平台 泳池 拍照 超美 巨幕 投影 2 米大床
71,复式 loft 大床 中山路 步行街 海边 轮渡 码头 对面 是 鼓浪屿 网红八市 海鲜 市场 复式 loft 厦大
72,🚎 接机 接站 投影 🛀 🏻 浴缸 共享 大 厨房 做饭 月影 大床 曾厝垵 海边 🏖 鼓浪屿 沙坡尾 厦大 中山路 植物园
73,客谈 ㏏ 厦门 设计师 民宿 ‒ 豪华 木质 风格 免费 和服 汉服 体验 步行 到 海边 近 会展中心 出门 美食街
74,品 敞亮 投影 宽敞 轻奢大床 曾厝垵 景区 海边 网红 双子塔 沙坡尾 厦门大学 鼓浪屿 环岛路
75,近 同安 工业园 近 厦门 高崎 国际 机场 近 厦门 北站 火车站 复式 精装 海景 公寓 沙滩 看 日出
76,忆梦 海洋 湖景大床 房近 厦门 北站 高崎 机场 厦门 集美 万科 云城 华侨大学 西门 万科 里
77,新春 特惠 民俗 风大床 B 无窗 出门 即 是 万象 城 距离 火车站 3 分钟 公交 直达 鼓浪屿 厦大 点 开头 像 更 多 房源
78,Hilight 予光 投影 色彩 房 蓝色
79,轻奢 三房 三卫 独立 大床 组合 连住 3 晚 免费 接机 步行 沙滩 曾厝垵 厦门大学 鼓浪屿 中山路 消毒 通风
80,秋霜 配 浴缸 市中心 中山路 步行街 步行 轮渡 八市 近 厦大 猫 街 沙坡尾 曾厝垵 鼓浪屿 植物园
81,白楼 别墅 海边 逐浪 水瓶座 18m 大床 房 曾厝垵 近 厦门大学 直达 中山路 鼓浪屿 点 开头 像 更 多 房源
82,厦门 曾厝垵 茶缘 居 豪华 大床 房二
83,近 地铁口 近 火车站 临 SM 商城 亲子 两居室
84,躺 在 床上 就可以看 海 的 复式 民宿 近 机场 近 高铁 近方特
85,鼓浪屿 梵汐 斜 屋顶 榻榻米 大床 房近 鼓浪屿 小吃街 日光岩 皓月 园
86,沙坡尾 空白 格 58 平 北欧 LOFT 配 投影 浴缸 近 厦门大学 中山路 植物园 鼓浪屿 曾厝垵
87,免费 停车 自驾游 中山路 厦大 植物园
88,BY < 焕 橡 > 临海 两居室 套房 近 会展 曾厝垵
89,紫外线 消毒 中山路 万物 带 投影 一 居室 近 步行街 鼓浪屿 厦大 南普陀 植物园 交通 方便 停车 方便
90,厦门大学 世茂 双子塔 远航 城景大床 房
91,厦门 华侨大学 万科 云城 阳光 投影 房近 BRT 大学城 站 厦门 北站 高崎 机场
92,独享 套房 鼓浪屿 岛上 历史风貌 别墅 三室一厅 三卫 麻将桌 投影仪 超大 露台 鹭江 夜景 最美 转角 影视 拍摄地
93,海边 近 曾厝垵 厦大 带 摩洛哥 泳池 海景 天台 ROOM301 免费 柴犬 咖啡馆 猫 咖
94,近 厦门 北站 距离 BRT 车站 中科院 仅 300m 厦门 工学院 对面 交通 便捷
95,温馨 小屋 A3 厦门 北站 15 米 无 空调
96,蓝海 清雅 大床 房 101 厦门 曾厝垵 ins 风 阳光 民宿 门口 美食街 几十米 到 天桥 公交站 海边 可住 2 人
97,海边 别墅 曾厝垵 景区 观景 大床 房 天空 之境 观海 平台 有 泳池 儿童乐园 等
98,湖里 万达 酒店 公寓 近五缘湾 观音山 软件园 可 月租
99,可 月租 浅夏 投影 海景 秋千 大床 曾厝垵 会展 厦大 鼓浪屿 椰风寨 沙滩 似水流年 海景 民宿
100,听涛 鼓浪屿 岛上 海边 小吃街 皓月 园菽莊 花园 天台 海景 出门 即 沙滩 田园 大床 房
101,SeaSun403 会展中心 旁边 连住 可 享受 5 折 优惠 别墅 环岛路 沙滩 近 曾 庴 垵 面朝 大海 春暖花开
102,92w 相遇 投影 房近 机场 五缘湾 网红 少女 风 粉色 系
103,免费 代订 鼓浪屿 船票 赏 黄 厝 沙滩 最美 日出 近 曾厝垵 厦大 鼓浪屿 近 环岛路 超大 山景 海景 大 露台
104,独立 阳台 大 落地窗 厦大 慵懒 角落 的 榻榻米 工业 风
105,一格 如溢 简约 大床 房 2
106,散步 海邊 3 分鐘 投影仪 君兰 靠近 会展中心 鼓浪屿 曾厝垵 沙坡尾 艺术 区 厦门大学 南普陀
107,ROOM301 临海 超大 三床 赠来厦 游玩 攻略 近 曾厝垵 厦大
108,沙坡尾 涵雅 欧式 双床 房 一兮沫舍 步行 网红 打卡 地 沙坡尾 猫 街 厦门大学 南普陀
109,XiamenMyhomeHostel 环岛路 景区 桃花源 古韵 大床
110,念山 十里 柒号 投影 大床 房公区 海景 天台 鼓浪屿 景区 内近 三丘田 码头 最美 转角 独栋 民宿 可 团建 聚会
111,楼 王轻 奢风 一线 海景 泡泡 椅 高端 百寸 投影 彩虹 跑道 2 室近 机场 北站 方特 游戏影音 洗衣机 冰箱
112,榻榻米 大床 曾厝垵 美食街 内 环岛路 近 厦门大学 植物园 中山路 沙坡尾 鼓浪屿 码头
113,厦门 鼓浪屿 那些 年 一舍 独栋 花园式 民宿 舒适 阳台 房
114,推荐 房源 影音 豪华 大床 设计师 作品 无边 海景 大 露台 超美 拍照 水池 步行 2 分钟 到 海边 近 曾厝垵
115,口碑 推荐 设计师 浴缸 投影 大床 曾厝垵 近 厦大 网红 拍照 水池 独立 庭院 带 厨房 独立 餐厅 步行 至 海边
116,法雨 舍独层 别墅 二大 二房 两卫 环岛路 海滩 度假 别墅 有 停车位 临近 曾厝垵 国际 会展中心 厦门大学
117,🥇 设计师 推荐 大床 房近 厦门大学 曾厝安 环岛路 胡里山 炮台 点击 头像 可 查看 更 多 房源
118,吾 颜长 租 特惠 潮汐 Loft 落地窗 看海 两房 独立 方特 集美学村 彩虹 沙滩 马拉松 跑道 机场 北站
119,艾米 的 小屋 市中心 瑞景 商业区 BRT 公交车 直达 鼓浪屿 曾厝垵 火车站 中山路 大房 带 阳台 可做饭
120,厦门 北站 万科 广场 — — 喵 星人 的 清新 小 民宿 动车 地铁 brt 公交 总站 交通枢纽 超 便捷
121,V5 中山路 近 鼓浪屿 厦大 私享 浪漫 花园 阳光房
122,来 厦必 打卡 曾厝垵 南境 特惠 大床 带 小 客厅 泳池 民宿 可 戏水 拍照 打卡 出门 厦门 环岛路 海边
123,鼓浪屿 世宜 海景 别墅 复式 SOHO 房 8110
124,🥇 壹 所 设计 全新 投影 设计 大床 近 厦大 曾厝安 环岛路 步行 可 到 海边 点击 房东 头像 查看 更 多 房源
125,春季 特推近 园博苑 景区 赏花 季有 柯树 湖想店 湖景大床 房
126,设计 型 酒店 投影仪 现庭 靠近 火车站 高崎 机场 磐基 名品 中心 明发 商业广场
127,厦门 树里 民宿 南烛 日式 大床 房适 会展 溪头 下
128,温馨 双床 房 环岛路 200 米 步行 到 海边 超大 庭院 空间 儿童 游泳池 邻近 曾厝垵 鼓浪屿 厦大
129,仲夏夜 之梦 滨海 度假 Loft 公寓 巨幕 投影 超近 海边 复式 套房
130,良辰 旅行 美宿 星辰 落地窗 大床 房近 环岛路 曾厝垵 会展中心 椰风寨 朋友 聚会 生日派对
131,下楼 即 中山路 🕍 近网 红八市 ﹝ 北屿 大床 房 ﹞ 含早 接机 接站 🛁 浴缸 投影 近 鼓浪屿 地铁口 沙坡尾
132,鹭岛 倾城 素色 大床 房 8212 位于 环岛路 曾厝垵 临近 厦门大学 南普陀 沙坡尾 鼓浪屿 中山路
133,沐 月 で す 日式 和 风近 厦大 曾厝垵 环岛路 日式 樱花 露台 和服 拍照 揽 月 1
134,当归 旅舍 102 大床 房 曾厝垵 环岛路 珍珠 湾 芙蓉 隧道 厦大 学生公寓 天井 大树 雕塑 油画 工作室
135,曾厝垵 美食街 内 环岛路 近 海边 沙滩 近 厦门大学 植物园 中山路 沙坡尾 鼓浪屿 码头 恋居大床 房 B
136,厦门 曾厝垵 一见 觅 月 设计师 别墅 ins 风 落地窗 大床 房可住 3 人近 环岛路 厦大 沙坡尾 双子塔 猫 街 中山路
137,漫轩 漫心 环岛路 设计师 民宿 近 曾厝垵 厦大 中山路 鼓浪屿 沙坡尾 浴缸 投影 大床 房
138,花 开 环岛路 ins 风 设计师 海景 民宿 近厦 大学 鼓浪屿 曾厝垵 植物园 黄厝 沙滩 点击 头像 可 看 其他 房源
139,当归 旅舍 101 大床 房带 小 客厅 曾厝垵 环岛路 珍珠 湾 厦大 学生公寓 天井 大树 雕塑 油画 工作室
140,接机 接站 厦大 网红 民宿 ✨ 阳台 大床 ✨ 近 厦大 曾厝垵 鼓浪屿 点击 下方 房东 头像 可以 看 其他 房源
141,海岸 阳台 家庭 房 1 春节 连 住 优惠 近 曾厝垵 厦大 南普陀 交通 便利 点 我 “ 头像 ” 查看 我家 其它 房源
142,🥇 超赞 房源 心湖悦 空间 午夜 巴黎 曾厝垵 内 步行 海边 10 分钟 厦大 环岛路 摄影 摩洛哥 花园 天台
143,芋圆哥 的 暖 窝
144,散步 海边 3 分钟 会展中心 鼓浪屿 曾厝垵 沙坡尾 艺术 区 厦门大学 南普陀
145,拂柳 风吟 已 消毒 曾厝垵 厦大 环岛路 海边 简约 大 三房 既有 投影仪 又 有 电视机
146,18m 豪华 城堡 大床 3 厦门大学 近 曾厝垵 美食街 植物园 沙坡尾 机场 大巴 直达 公交 直达 中山路 鼓浪屿
147,限时 特惠 闽南 古厝 小 复式 Loft 大床 房 两种 房型 随机 安排 曾厝垵 环岛路 骑行 厦门大学 泳池
148,睡 艺术 舒适 简洁 双床 房 T 近 机场 brt 厦门 北站 万科 里 华侨大学 点 我 头像 查看 更 多 房源
149,曾厝垵 青石 五晚 接机 荏菽 投影 落地窗 双床 房近 海边 环岛路 鼓浪屿 厦门大学 植物园 等 景点
150,散步 海邊 3 分鐘 投影仪 親子 雙房 靠近 会展中心 鼓浪屿 曾厝垵 沙坡尾 艺术 区 厦门大学
151,白书 SB2 鼓浪屿 上 景点 中心 网红 打卡 超好 拍照 小 清新 3 分钟 美食街 7 分钟 三丘田 码头
152,loft 沐光房 复式楼 商业街 中心 近 日光岩 沙滩 小吃街
153,Ho 别 也 room5 现代 简约 清新 大床
154,消毒 mirage 品质 大床 邻 曾厝垵 小吃 厦门大学 厦大 白城 海边 植物园 沙坡尾 中山路 等 网红 景点
155,73W 遇见 loft 复式 近 机场 五缘湾 海滩 简约 粉色 系
156,〈 云际 1 〉 软件园 二期 宝龙 一城 地铁口 观音山 会展 环岛路 直达 厦大 曾厝垵 中山路 18 大床
157,厦门 曾厝垵 一见 DO 设计师 别墅 ins 风 落地窗 大床 房可住 3 人近 环岛路 沙坡尾 双子塔 猫 街 中山路
158,粉色 浪漫 秋千 圆床 情侣 约会 卧榻 观海 碧海 蓝天 百寸 投影 沙滩 漫步 花田 月 下 日出日落
159,桔梗 屋实 拍 厨房 步行 即到 厦门大学 沙坡尾 猫 街 南普陀 双塔 亲 子房 配 独立 厨房
160,躲猫猫 民宿 一零 二小 芦柑 环岛路 前排 天猫 魔屏 步行 10 分钟 可 达 海滩 临近 曾厝垵 沙坡尾 厦大 会展
161,厦门 曾厝垵 一见 暮云 设计师 别墅 ins 风 落地窗 大床 房可住 3 人近 环岛路 厦大 沙坡尾 双子塔 猫 街 中山路
162,曾厝垵 美食街 内 两室 两卫 两间 大床 房 组合 房近 厦大 南普陀 植物园 鼓浪屿
163,岚大床 房 日式 小酒馆 深夜 食堂 历史风貌 建筑 鼓浪屿 岛上 近三丘田 码头   最美 转角 简约 木系 设计
164,心宿 宝龙 一城 软件园 二期 会展中心 观音山 梦幻 世界 环岛路 新开业
165,都市 青年 公寓 单间 小 复式 钱木 の 家
166,曾厝垵 青石 五晚 接机 卷 耳 2 楼 落地 飘窗 双床 房近 海边 环岛路 厦大 钟鼓 索道 鼓浪屿 植物园
167,海边 近 曾厝垵 厦大 带 摩洛哥 泳池 摩洛哥 网红大 浴缸 海景 天台 503 赠送 免费 柴犬 咖啡馆 猫 咖
168,离海 50 米 看 日出 一线 海景 投影 飘窗 大床 房 曾厝垵 正 大门 不 象 闹中取静 轻奢 简约 风 交通 便利
169,世外 设计 型 网红 民宿 豪华 家庭 房 曾厝垵 沙坡尾 巨幕 投影 闹中取静 无边 水池
170,中山路 🕌 汮 白大床 含早 迷你 吧 🍹 配 投影 下楼 中山路 步行街 网红八市 猫 街 中华 城 植物园 沙坡尾
171,长租 35002 下楼 即 中山路 近八市 鼓浪屿 厦大 沙坡尾 曾厝垵 环岛路 可做饭 公寓
172,火山岛 镇 海角 盘扣 彼岸 设计师 民宿 汐 5 超大 落地窗 无边 海景 投影 大床 房
173,离海 50 米 不象 曾厝垵 正 大门 闹中取静 轻奢 简约 风 交通 便利 大床 房
174,春节 特惠 超赞 房东 鼓浪屿 轮渡 码头 中山路 日光岩 步行 至 海滩 景观 大床 房
175,曾厝垵 海景 空中 别墅 会展中心 环岛路 JFC 观音山 地铁口 俯瞰 厦金 两岛
176,新春 特惠 18m 精致 大床 最美 马拉松赛 道 出门 50m 海滩 步行 曾厝垵 近 厦门大学 点 开头 像 更 多 房源
177,雅致 两房 两卫 三床 独立 大双床 房 酒店式 组合 可住 六位 亲子 出行 厦门大学 曾厝垵 文化村 直达 鼓浪屿
178,曾厝垵 青石 五晚 接机 蔷薇 投影 标间 双床 房近 海边 环岛路 鼓浪屿 厦门大学 植物园 等 景点
179,💎 鼓浪屿 他 城壹悦 三丘田 码头 树里 全屋 消毒 赠送 早餐 巨幕 投影 近 最美 转角 风琴 博物馆 小吃街
180,客谈 闽南 现代 风 浴缸 大床 房 免费 汉服 拍照 步行 海边 5 分钟 近 厦门大学 出门 美食街 点 开头 像 更 多 房源
181,鼓浪屿 花庭稚 梦 旅馆 温馨 大床 房 301 带 浴缸 近 沙滩
182,浦居 Loft 简约 风 中山路 地铁站 鼓浪屿 轮渡 码头 近 植物园 15 分钟 步行
183,厦门 鼓浪屿 那些 年 一舍 独栋 花园式 民宿 舒适 榻榻米
184,FANROOM 西堤 咖啡 一条街 旁 舒适 公寓 鹭岛 必到 打卡 地距 客运码头 900 米 近 中山路 轮渡
185,厦门 北站 初心院 书舍 上下 铺 四 人间 闽南 古风 书院
186,近 厦门 北方 特 机场 步行 五分钟 可 到达 彩虹 沙滩 看海 看 日出 海景房
187,曾厝垵 浴缸 🛁 投影 🚗 接机 接站 露台 看海 🏖 海边 步行 1 分钟 配 私人 管家 月 城近 鼓浪屿 中山路 景点
188,鼓浪屿 柝 声 之 旅 花园别墅 Sweettime101T
189,温馨 亲 子房 送 风筝 接机 接站 位于 曾厝垵 过 马路 就是 海 环岛路 厦大 等 热门 景点
190,漫 高性价比 大床 房 步行 可 达 海边 近 曾厝垵 厦大 南普陀 植物园 鼓浪屿 等 景点
191,纯 海景 复式 民宿 近 机场 高铁 BRT 直达
192,西游记 3 画廊 世外 鼓浪屿 红砖 老 别墅 特色 木屋 房近 日光岩 近内 厝 澳 码头 紧邻 钢琴家 殷承宗 府
193,厦门 海汐家 清新 大床 房 3 近 海边 沙滩 3 曾厝垵 会展中心 厦大 等
194,厦门大学 设计师 民宿 白城 沙滩 曾厝垵 商圈 沙坡尾 一行 大床
195,高崎 国际 机场 附近 私人 住所 民宿 hostel
196,初时 room 遇见 ins 沙坡尾 35 平 loft 投影 浴缸 近 厦门大学 猫 街 中华 城 植物园
197,温馨 亲 子房 入住 享 欢迎 饮品 冰镇 酸梅汤 环岛路 白城 沙滩 近 曾厝垵 厦大 植物园 胡里山 炮台 音乐 广场 等 景点
198,🥇 爱琴海 的 咸味 ♫ 一首歌 至 海边 巨幕 投影 惊喜 升级 莫兰迪 配色 管家 服务 曾厝垵 植物园 沙坡尾 环岛路
199,🏅 厦门 曾厝垵 闽南 风双床 房近 会展中心 环岛路 鼓浪屿 厦门大学 步行 5 分钟 到 海边 免费 和服 汉服 拍照
